groupName,permission
Unmeritedly Beddable Houri renovator,FONDLE
Unmeritedly Beddable Houri renovator,READ
Unmeritedly Beddable Houri renovator,FIST
Villainously Neutral-coloured Family Ochotonidae drinker,RENAME
Villainously Neutral-coloured Family Ochotonidae drinker,FIST
Villainously Neutral-coloured Family Ochotonidae drinker,OBSERVE
Villainously Neutral-coloured Family Ochotonidae drinker,READ
Uprightly Maltreated Oxalate hider,OBSERVE
Uprightly Maltreated Oxalate hider,EXECUTE
Uprightly Maltreated Oxalate hider,ADJUST
Uprightly Maltreated Oxalate hider,LICK
Uprightly Maltreated Oxalate hider,RENAME
Mathematically Undergrown Household doer,OBSERVE
