group;friendlyName;description;target;rights
UnwiselyPolyzoanFremitus;UnwiselyPolyzoanFremitus;Tiles Chinese gooseberry to the repertorys;UnwiselyPolyzoanFremitusREPERTORY;OBSERVE
SuccessfullyChieflyKlystrons;SuccessfullyChieflyKlystrons;Citifies Balance to the basements;SuccessfullyChieflyKlystronsBASEMENT;LICK
CumulativelyTeensyProjectionists;CumulativelyTeensyProjectionists;Domes Prescript to the catacombs;CumulativelyTeensyProjectionistsCATACOMB;FONDLE,WRITE,RENAME,STROKE,PUNCH
InclusivelyHuguenotSegars;InclusivelyHuguenotSegars;Foredooms Ponderers to the abodes;InclusivelyHuguenotSegarsABODE;FIST
SupernallyCredentialledTetchiness;SupernallyCredentialledTetchiness;Versifies Flappers to the closets;SupernallyCredentialledTetchinessCLOSET;FONDLE,WRITE
AnywayProposedNorns;AnywayProposedNorns;Entomologizes Ecclesiastics to the treasures;AnywayProposedNornsTREASURE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
PalewiseZoologicalSealants;PalewiseZoologicalSealants;Try-outs Ghoulishness to the accommodations;PalewiseZoologicalSealantsACCOMMODATION;ADJUST,WRITE,RENAME,STROKE,PUNCH
CapablyCrestfallenOutTrays;CapablyCrestfallenOutTrays;Peptonises Underskirts to the depots;CapablyCrestfallenOutTraysDEPOT;FIST,WRITE,RENAME,STROKE,PUNCH
DolorosoUnmechanicalCtenophores;DolorosoUnmechanicalCtenophores;Hemstitches Glad-handers to the stores;DolorosoUnmechanicalCtenophoresSTORE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
WinsomelyFainExcusers;WinsomelyFainExcusers;Dredges Glycerinated gelatin to the stores;WinsomelyFainExcusersSTORE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
SemiweeklyDefencelessIssuers;SemiweeklyDefencelessIssuers;Foreordains Atlantic bonito to the repositorys;SemiweeklyDefencelessIssuersREPOSITORY;STEW
HalfAndHalfThickRampages;HalfAndHalfThickRampages;Bargees Substituting to the vaults;HalfAndHalfThickRampagesVAULT;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
QuadrenniallyTesticularStreptomycesErythreus;QuadrenniallyTesticularStreptomycesErythreus;Justles Handbell to the containers;QuadrenniallyTesticularStreptomycesErythreusCONTAINER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
AndThenSquishiestPhenomenalists;AndThenSquishiestPhenomenalists;Vests House sparrow to the apartmentss;AndThenSquishiestPhenomenalistsAPARTMENTS;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
DistractedlyAflameFlypasts;DistractedlyAflameFlypasts;Distracts Monisms to the lodgingss;DistractedlyAflameFlypastsLODGINGS;READ
WailinglyCrutchedRedeemers;WailinglyCrutchedRedeemers;Bird's-nests Balancing to the cellars;WailinglyCrutchedRedeemersCELLAR;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
GreatTiptopDaughters;GreatTiptopDaughters;Caulks Rottenstones to the depositorys;GreatTiptopDaughtersDEPOSITORY;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
UnbiasedlyTremendousSemitics;UnbiasedlyTremendousSemitics;Susurrates Congruency to the digss;UnbiasedlyTremendousSemiticsDIGS;STROKE
GainlesslyAnarchicValedictorians;GainlesslyAnarchicValedictorians;Minifies Breadstick to the repositorys;GainlesslyAnarchicValedictoriansREPOSITORY;EXECUTE,WRITE,RENAME,STROKE
EmulouslyTenderSubconscious;EmulouslyTenderSubconscious;Outdances Plack to the areas;EmulouslyTenderSubconsciousAREA;STEW,WRITE,RENAME,STROKE,PUNCH,OBSERVE
UncoIconomaticHercules;UncoIconomaticHercules;Overhauls Gloggs to the warehouses;UncoIconomaticHerculesWAREHOUSE;PUNCH,WRITE
DiscriminatinglyLivingProtoavis;DiscriminatinglyLivingProtoavis;Peptonises Tri-chad to the scopes;DiscriminatinglyLivingProtoavisSCOPE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
SartoriallyOctonaryMuggers;SartoriallyOctonaryMuggers;Sceptres Downiness to the suites;SartoriallyOctonaryMuggersSUITE;READ,WRITE,RENAME,STROKE
TranscontinentallyVarietalBerlins;TranscontinentallyVarietalBerlins;Trances Victoria Day to the apartmentss;TranscontinentallyVarietalBerlinsAPARTMENTS;READ,WRITE,RENAME,STROKE
StethoscopicallyHeterogonousGeographers;StethoscopicallyHeterogonousGeographers;Revolutionises Phonotypist to the storerooms;StethoscopicallyHeterogonousGeographersSTOREROOM;EXECUTE,WRITE,RENAME
RaffishlyMonolatrousVarlets;RaffishlyMonolatrousVarlets;Hedges Nucleators to the receptacles;RaffishlyMonolatrousVarletsRECEPTACLE;OBSERVE,WRITE
SlamBangMussiestCallas;SlamBangMussiestCallas;Unreels Chrysotiles to the vaults;SlamBangMussiestCallasVAULT;READ,WRITE
BucolicallyAbandonedMarrows;BucolicallyAbandonedMarrows;Partners Interferometers to the abodes;BucolicallyAbandonedMarrowsABODE;LAUGH,WRITE
ThisEveningMouselikeCakewalks;ThisEveningMouselikeCakewalks;Resumes Automations to the digss;ThisEveningMouselikeCakewalksDIGS;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
OptimallyDesegregateJejunums;OptimallyDesegregateJejunums;Jows Sniffiness to the repertorys;OptimallyDesegregateJejunumsREPERTORY;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
LikeCrazyValuelessTrinomials;LikeCrazyValuelessTrinomials;Enciphers Watson to the underground chambers;LikeCrazyValuelessTrinomialsUNDERGROUND CHAMBER;WRITE
FlyingRepudiativeReconnoitrers;FlyingRepudiativeReconnoitrers;Disembarrass Entr'actes to the depositorys;FlyingRepudiativeReconnoitrersDEPOSITORY;STROKE
HandAndFootJadishOuzos;HandAndFootJadishOuzos;Stilettoes Genus Dactylopterus to the closets;HandAndFootJadishOuzosCLOSET;STEW
HaphazardlyApostateSororates;HaphazardlyApostateSororates;Excises Sportfishing to the accommodations;HaphazardlyApostateSororatesACCOMMODATION;STEW,WRITE,RENAME
CoaxinglyParolCarouses;CoaxinglyParolCarouses;Salifies Lab coat to the stores;CoaxinglyParolCarousesSTORE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
InextinguishablyDiachronicFlints;InextinguishablyDiachronicFlints;Infatuates Freda to the banks;InextinguishablyDiachronicFlintsBANK;FONDLE,WRITE,RENAME
OnceMoreIngloriousSpectatress;OnceMoreIngloriousSpectatress;Penes Genus Agama to the archives;OnceMoreIngloriousSpectatressARCHIVE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
NowNowLightHeadedCatalysis;NowNowLightHeadedCatalysis;Deeds Counsellors to the basements;NowNowLightHeadedCatalysisBASEMENT;STROKE,WRITE,RENAME
TheOtherWayAroundIngrainedRacketts;TheOtherWayAroundIngrainedRacketts;Styles Conventual to the safety deposits;TheOtherWayAroundIngrainedRackettsSAFETY DEPOSIT;LAUGH,WRITE,RENAME,STROKE
AndThenHomelessIndispositions;AndThenHomelessIndispositions;Niellos Prison to the mines;AndThenHomelessIndispositionsMINE;READ,WRITE
ExchangeablyFattishProcrastinators;ExchangeablyFattishProcrastinators;Demits Bullheads to the places;ExchangeablyFattishProcrastinatorsPLACE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
AlternativelyInrushPegboards;AlternativelyInrushPegboards;Expeditates Phytotrons to the repositorys;AlternativelyInrushPegboardsREPOSITORY;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
VivaciouslyUnheatedPresses;VivaciouslyUnheatedPresses;Relights Apologies to the banks;VivaciouslyUnheatedPressesBANK;FONDLE,WRITE,RENAME,STROKE,PUNCH
IncredulouslyUnvocalBlunderbuss;IncredulouslyUnvocalBlunderbuss;Doffs Ecological terrorism to the storehouses;IncredulouslyUnvocalBlunderbussSTOREHOUSE;LAUGH,WRITE,RENAME,STROKE
AndHowQuintessentialCorozos;AndHowQuintessentialCorozos;Quivers Cyclopes to the treasurys;AndHowQuintessentialCorozosTREASURY;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
InexpressiblyVagalLoaders;InexpressiblyVagalLoaders;Interviews Brussels to the apartmentss;InexpressiblyVagalLoadersAPARTMENTS;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST,LAUGH
OnerouslyDryingIrksomeness;OnerouslyDryingIrksomeness;Castaways Revetment to the accommodations;OnerouslyDryingIrksomenessACCOMMODATION;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
QueerlyJunglyMastheads;QueerlyJunglyMastheads;Euhemerizes Impersonators to the depositorys;QueerlyJunglyMastheadsDEPOSITORY;PUNCH
HieroglyphicallyLyophilizedPythiums;HieroglyphicallyLyophilizedPythiums;Swags Antilocapra to the containers;HieroglyphicallyLyophilizedPythiumsCONTAINER;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE
SwiftlySweptChippewas;SwiftlySweptChippewas;Grilles Censuses to the basements;SwiftlySweptChippewasBASEMENT;FONDLE,WRITE
PenumbralLowliestMotorcycles;PenumbralLowliestMotorcycles;Soldiers Holocentridae to the funds;PenumbralLowliestMotorcyclesFUND;STEW,WRITE,RENAME
AnonOutstretchedAbators;AnonOutstretchedAbators;Trappings Hyperspace to the volumes;AnonOutstretchedAbatorsVOLUME;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
TodayUnsurveyedTineaPedis;TodayUnsurveyedTineaPedis;Amnesties Chickasaw to the containers;TodayUnsurveyedTineaPedisCONTAINER;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE
InLargeQuantitiesFreeTradeWarblers;InLargeQuantitiesFreeTradeWarblers;Sponsors Penetrator to the resrvoirs;InLargeQuantitiesFreeTradeWarblersRESRVOIR;EXECUTE
GruntinglyUnchastenedChamades;GruntinglyUnchastenedChamades;Euphonises Discontentment to the resrvoirs;GruntinglyUnchastenedChamadesRESRVOIR;STEW,WRITE,RENAME,STROKE,PUNCH,OBSERVE
ComprehensiblyTriterAmphibolips;ComprehensiblyTriterAmphibolips;Reprobates Subsets to the sepulchres;ComprehensiblyTriterAmphibolipsSEPULCHRE;OBSERVE,WRITE,RENAME,STROKE,PUNCH
BenSqueakingReciprocalCross;BenSqueakingReciprocalCross;Ponces Oil company to the safes;BenSqueakingReciprocalCrossSAFE;RENAME,WRITE
PizzicatoAmnioticEucalypts;PizzicatoAmnioticEucalypts;Recompenses Sailplaning to the abodes;PizzicatoAmnioticEucalyptsABODE;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
NoumenallyGeneticExpectedness;NoumenallyGeneticExpectedness;Jacobinises Neglects to the accommodations;NoumenallyGeneticExpectednessACCOMMODATION;READ
AdriftRaspiestBabuls;AdriftRaspiestBabuls;Spheres Rigorousness to the depots;AdriftRaspiestBabulsDEPOT;EXECUTE,WRITE,RENAME,STROKE
NohowWrathSuperfluities;NohowWrathSuperfluities;Phonates Bedfellows to the abodes;NohowWrathSuperfluitiesABODE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
DubitablyGastralgicCrags;DubitablyGastralgicCrags;Taws Sideswipers to the accommodations;DubitablyGastralgicCragsACCOMMODATION;LAUGH,WRITE
IncommodiouslyNonIronHollas;IncommodiouslyNonIronHollas;Suberises Turpeth to the safes;IncommodiouslyNonIronHollasSAFE;PUNCH,WRITE,RENAME,STROKE
ExtemporaneouslyTicklishSatsumas;ExtemporaneouslyTicklishSatsumas;Locos Hourglass to the cellars;ExtemporaneouslyTicklishSatsumasCELLAR;WRITE
InexpiablyCoequalAprons;InexpiablyCoequalAprons;Retunes Illinoian to the warehouses;InexpiablyCoequalApronsWAREHOUSE;STROKE
TogetherAfloatLeitmotifs;TogetherAfloatLeitmotifs;Jobs Ultraists to the safe deposits;TogetherAfloatLeitmotifsSAFE DEPOSIT;LICK,WRITE,RENAME,STROKE
InquiringlyShoreArchbishops;InquiringlyShoreArchbishops;Stripings Impastation to the places;InquiringlyShoreArchbishopsPLACE;STEW,WRITE
ComplaininglyGeostrophicRanunculus;ComplaininglyGeostrophicRanunculus;Minimizes Free throw lane to the apartmentss;ComplaininglyGeostrophicRanunculusAPARTMENTS;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
InfirmlyStirringHearsays;InfirmlyStirringHearsays;Serializes Tippler to the apartmentss;InfirmlyStirringHearsaysAPARTMENTS;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
DissonantlyArabianZags;DissonantlyArabianZags;Centrifugalises Denim to the abodes;DissonantlyArabianZagsABODE;LICK
SimulPredestinateBierkellers;SimulPredestinateBierkellers;Dispirits Prolamine to the warehouses;SimulPredestinateBierkellersWAREHOUSE;LICK,WRITE,RENAME,STROKE
AtrembleSleepiestBrims;AtrembleSleepiestBrims;Congeals Dramatic performance to the mines;AtrembleSleepiestBrimsMINE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
RoundTheClockVillainousScepters;RoundTheClockVillainousScepters;Desensitizes Cargo door to the archives;RoundTheClockVillainousSceptersARCHIVE;FIST,WRITE,RENAME
PuritanicallyTextualismDinornis;PuritanicallyTextualismDinornis;Earns Coloraturas to the crypts;PuritanicallyTextualismDinornisCRYPT;OBSERVE,WRITE,RENAME,STROKE,PUNCH
WililyRefrigeratoryTrysails;WililyRefrigeratoryTrysails;Poinds Oreortyx to the digss;WililyRefrigeratoryTrysailsDIGS;LICK,WRITE,RENAME,STROKE
HatefullyBackstairSimmers;HatefullyBackstairSimmers;Sequences Ostlers to the crypts;HatefullyBackstairSimmersCRYPT;EXECUTE,WRITE,RENAME
FertilelySeriateConoids;FertilelySeriateConoids;Pettles Reamer to the containers;FertilelySeriateConoidsCONTAINER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
MagisteriallyExtraCondensedHibachis;MagisteriallyExtraCondensedHibachis;Euphonises Familist to the strongrooms;MagisteriallyExtraCondensedHibachisSTRONGROOM;PUNCH,WRITE,RENAME,STROKE
OneOnesCoattailsEndermaticForaminifers;OneOnesCoattailsEndermaticForaminifers;Infracts Avestan to the apartmentss;OneOnesCoattailsEndermaticForaminifersAPARTMENTS;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
InvaluablyIncreasableScuts;InvaluablyIncreasableScuts;Shooks Arkansans to the quarterss;InvaluablyIncreasableScutsQUARTERS;PUNCH,WRITE
SerenelyUndilutedSnarls;SerenelyUndilutedSnarls;Slims Sandwich plate to the accommodations;SerenelyUndilutedSnarlsACCOMMODATION;STEW,WRITE
FurthestWellDefinedNakers;FurthestWellDefinedNakers;Grides Hematemesis to the territorys;FurthestWellDefinedNakersTERRITORY;LAUGH
NumericallyPulselessSparklers;NumericallyPulselessSparklers;Iterates Lemonade mix to the depositorys;NumericallyPulselessSparklersDEPOSITORY;ADJUST,WRITE,RENAME
RepellinglyControlledGenusMesocricetus;RepellinglyControlledGenusMesocricetus;Disenables Os to the depositorys;RepellinglyControlledGenusMesocricetusDEPOSITORY;STROKE,WRITE
FourthClassEmasculatoryGenusSistrurus;FourthClassEmasculatoryGenusSistrurus;Soles Thomasina to the chambers;FourthClassEmasculatoryGenusSistrurusCHAMBER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
FastidiouslyCantabrigianPreludes;FastidiouslyCantabrigianPreludes;Africanizes Impieties to the safety deposits;FastidiouslyCantabrigianPreludesSAFETY DEPOSIT;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE
AstuciouslyDesirousFoaminess;AstuciouslyDesirousFoaminess;Redrives Sabayon to the banks;AstuciouslyDesirousFoaminessBANK;EXECUTE,WRITE,RENAME
AdmiringlyActinomycetalDialectics;AdmiringlyActinomycetalDialectics;Whitewashes Gangway to the depositorys;AdmiringlyActinomycetalDialecticsDEPOSITORY;LAUGH,WRITE,RENAME
IncuriouslyNeoplasticMegalomaniacs;IncuriouslyNeoplasticMegalomaniacs;Proselytises Coacervates to the scopes;IncuriouslyNeoplasticMegalomaniacsSCOPE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
LubberlyPrickliestBureaucrats;LubberlyPrickliestBureaucrats;Excises Cross-country jumping to the banks;LubberlyPrickliestBureaucratsBANK;READ,WRITE,RENAME
LifelesslyChaucerianPreterites;LifelesslyChaucerianPreterites;Judges Ringside to the burial chambers;LifelesslyChaucerianPreteritesBURIAL CHAMBER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
IrritatinglyUncoveredWaffs;IrritatinglyUncoveredWaffs;Follow-ups Housing and Urban Development to the storerooms;IrritatinglyUncoveredWaffsSTOREROOM;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
BlamelesslyUnscathedDigitizers;BlamelesslyUnscathedDigitizers;Washes Restatement to the safe deposits;BlamelesslyUnscathedDigitizersSAFE DEPOSIT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
QuerulouslyAvascularOxus;QuerulouslyAvascularOxus;Immures Ecobabble to the sepulchres;QuerulouslyAvascularOxusSEPULCHRE;RENAME
ByAndByBarnacledDahls;ByAndByBarnacledDahls;Diphthongises Hornbook to the cellars;ByAndByBarnacledDahlsCELLAR;LAUGH,WRITE,RENAME,STROKE
TruculentlyInstantaneousAmritas;TruculentlyInstantaneousAmritas;Sympathises Rat cheese to the catacombs;TruculentlyInstantaneousAmritasCATACOMB;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
ThenceforwardConstructibleLimpets;ThenceforwardConstructibleLimpets;Unstoppers Tonic to the repositorys;ThenceforwardConstructibleLimpetsREPOSITORY;STEW,WRITE,RENAME,STROKE,PUNCH,OBSERVE
AtTheWorstConsensualCypriots;AtTheWorstConsensualCypriots;Prevaricates Chastisement to the treasures;AtTheWorstConsensualCypriotsTREASURE;WRITE
VerySoftlyUnhopedNakedness;VerySoftlyUnhopedNakedness;Disinters Sorners to the volumes;VerySoftlyUnhopedNakednessVOLUME;PUNCH,WRITE,RENAME,STROKE
CreditablyIndividualistFlatus;CreditablyIndividualistFlatus;Remarks Hawaiian dancing to the volumes;CreditablyIndividualistFlatusVOLUME;LICK,WRITE,RENAME,STROKE,PUNCH
UntimelyHydrousMillionairesses;UntimelyHydrousMillionairesses;Disallows Carline to the suites;UntimelyHydrousMillionairessesSUITE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
JesuiticallyPerigonialUllages;JesuiticallyPerigonialUllages;Funnels Ileostomy to the funds;JesuiticallyPerigonialUllagesFUND;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
EvensShuntWoundWalls;EvensShuntWoundWalls;Forspeaks Colour scheme to the underground chambers;EvensShuntWoundWallsUNDERGROUND CHAMBER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ImperativelyExosphericalSkedaddles;ImperativelyExosphericalSkedaddles;Huffs Foot brake to the expanses;ImperativelyExosphericalSkedaddlesEXPANSE;FIST,WRITE,RENAME
AutonomouslyPluriliteralPadangs;AutonomouslyPluriliteralPadangs;Doses Porcellionidae to the treasurys;AutonomouslyPluriliteralPadangsTREASURY;STROKE,WRITE,RENAME
ThriftlesslyColeopterousHymenopterans;ThriftlesslyColeopterousHymenopterans;Slangs Ironbarks to the caverns;ThriftlesslyColeopterousHymenopteransCAVERN;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
ForcefullyCrumbierSuccours;ForcefullyCrumbierSuccours;Psychoanalyzes Pinot blanc to the treasure houses;ForcefullyCrumbierSuccoursTREASURE HOUSE;STEW,WRITE,RENAME,STROKE,PUNCH,OBSERVE
DiametrallyMetonymicGadoids;DiametrallyMetonymicGadoids;Spoils Ballistas to the cellars;DiametrallyMetonymicGadoidsCELLAR;ADJUST,WRITE,RENAME
AbaxiallyIncorporateMeeds;AbaxiallyIncorporateMeeds;Criminalizes Osmium to the spaces;AbaxiallyIncorporateMeedsSPACE;LICK,WRITE,RENAME,STROKE,PUNCH
InfinitelyAstirShires;InfinitelyAstirShires;Reddles Rite of passage to the sepulchres;InfinitelyAstirShiresSEPULCHRE;LAUGH,WRITE
OntogeneticallyFahrenheitDaydreamers;OntogeneticallyFahrenheitDaydreamers;Dawts Hymnodists to the places;OntogeneticallyFahrenheitDaydreamersPLACE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
GlidinglyYearnedForBullyOffs;GlidinglyYearnedForBullyOffs;Disposings Genus Mammuthus to the burial chambers;GlidinglyYearnedForBullyOffsBURIAL CHAMBER;LICK
GallinglyNoncontagiousSongwriters;GallinglyNoncontagiousSongwriters;Cauterises Reflowers to the burial chambers;GallinglyNoncontagiousSongwritersBURIAL CHAMBER;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ForrardSymbolisticalFuses;ForrardSymbolisticalFuses;Forestalls Fliers to the safes;ForrardSymbolisticalFusesSAFE;FONDLE,WRITE,RENAME,STROKE,PUNCH
ForbiddenlyUnbrushedMajorPremiss;ForbiddenlyUnbrushedMajorPremiss;Retains Water project to the storing places;ForbiddenlyUnbrushedMajorPremissSTORING PLACE;STROKE,WRITE,RENAME
TopographicallySolidungulateSteeplechasers;TopographicallySolidungulateSteeplechasers;Pikes Luxuriation to the treasure troves;TopographicallySolidungulateSteeplechasersTREASURE TROVE;LICK,WRITE,RENAME,STROKE,PUNCH
DubitativelyQuintuplicateToolrooms;DubitativelyQuintuplicateToolrooms;Phosphorylates Seating room to the treasurys;DubitativelyQuintuplicateToolroomsTREASURY;OBSERVE
RecklesslyDimerousTenters;RecklesslyDimerousTenters;Sight-reads Smelliness to the treasures;RecklesslyDimerousTentersTREASURE;FIST,WRITE,RENAME
CussedlyCaudateOverdrives;CussedlyCaudateOverdrives;Jigs Zoological garden to the suites;CussedlyCaudateOverdrivesSUITE;FONDLE,WRITE
LubberlyDimNewmarkets;LubberlyDimNewmarkets;Coffs Fezes to the funds;LubberlyDimNewmarketsFUND;FONDLE,WRITE
PhonemicSnappyLigands;PhonemicSnappyLigands;Cave-ins Pecks to the cellars;PhonemicSnappyLigandsCELLAR;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
BySmallDegreesUnthinkingHajjes;BySmallDegreesUnthinkingHajjes;Spuds Comptroller to the repertorys;BySmallDegreesUnthinkingHajjesREPERTORY;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
NevermoreBuzzingSirens;NevermoreBuzzingSirens;Punctures Preserves to the places;NevermoreBuzzingSirensPLACE;LAUGH,WRITE,RENAME
FlyingTraceableSuzerainties;FlyingTraceableSuzerainties;Desalinizes Enos to the safe deposits;FlyingTraceableSuzeraintiesSAFE DEPOSIT;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
AsAGroupSuralMuhammadans;AsAGroupSuralMuhammadans;Readies Advertisements to the underground chambers;AsAGroupSuralMuhammadansUNDERGROUND CHAMBER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
HortatorilyPyralidSnuffboxes;HortatorilyPyralidSnuffboxes;Generals Triumphs to the warehouses;HortatorilyPyralidSnuffboxesWAREHOUSE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ReflexlyUncleansedDaikons;ReflexlyUncleansedDaikons;Poops Pinocle to the catacombs;ReflexlyUncleansedDaikonsCATACOMB;ADJUST
DisputablyIdyllicMacrobiotics;DisputablyIdyllicMacrobiotics;Dissipates Multimeter to the storehouses;DisputablyIdyllicMacrobioticsSTOREHOUSE;FIST
AdLibitumFeyGenusLates;AdLibitumFeyGenusLates;Beaks Piping to the containers;AdLibitumFeyGenusLatesCONTAINER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
NamelyDrowsierLooseners;NamelyDrowsierLooseners;Cleats Saskatchewan to the spaces;NamelyDrowsierLoosenersSPACE;EXECUTE,WRITE,RENAME,STROKE,PUNCH
SloppilyIgnitibleAbundances;SloppilyIgnitibleAbundances;Jabs Wilderness to the safes;SloppilyIgnitibleAbundancesSAFE;FIST,WRITE
VolanteWomanishPausers;VolanteWomanishPausers;Arrogates Dactylopius coccus to the treasure houses;VolanteWomanishPausersTREASURE HOUSE;FIST,WRITE,RENAME,STROKE
PlaguilyMisappliedRemovals;PlaguilyMisappliedRemovals;Scrutinizes Continuous receiver watch to the suites;PlaguilyMisappliedRemovalsSUITE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
BrainsicklyObstetricBodices;BrainsicklyObstetricBodices;Subcontracts Illogicality to the lodgingss;BrainsicklyObstetricBodicesLODGINGS;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
OsmoticallyIdiomaticGumminess;OsmoticallyIdiomaticGumminess;Gutters Saddleback roof to the mines;OsmoticallyIdiomaticGumminessMINE;EXECUTE
WaistHighBowingPanhandlers;WaistHighBowingPanhandlers;Pettings Bridesmaids to the scopes;WaistHighBowingPanhandlersSCOPE;READ,WRITE
NoteworthilyOverlappingRamillies;NoteworthilyOverlappingRamillies;Blacks Whooper swan to the burial chambers;NoteworthilyOverlappingRamilliesBURIAL CHAMBER;PUNCH,WRITE
DenotativelyHomoeomorphicCrofters;DenotativelyHomoeomorphicCrofters;Encamps Sedge to the treasurys;DenotativelyHomoeomorphicCroftersTREASURY;READ
OnTheWayJestfulPhylloxeras;OnTheWayJestfulPhylloxeras;Gees Sporulations to the archives;OnTheWayJestfulPhylloxerasARCHIVE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
ThousandfoldUncultivatedTrigons;ThousandfoldUncultivatedTrigons;Patters Eyeballs to the archives;ThousandfoldUncultivatedTrigonsARCHIVE;LICK,WRITE,RENAME
InVivoOneirocriticalForemasts;InVivoOneirocriticalForemasts;Sleaves Ileitis to the digss;InVivoOneirocriticalForemastsDIGS;READ,WRITE
UnwatchfullyPremandibularPoufs;UnwatchfullyPremandibularPoufs;Betakes Inheritrixes to the receptacles;UnwatchfullyPremandibularPoufsRECEPTACLE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
GamelyVanishingSacramentalists;GamelyVanishingSacramentalists;Photoengraves Ahimsa to the suites;GamelyVanishingSacramentalistsSUITE;FIST,WRITE
CoincidentlyTurkishUnreservedness;CoincidentlyTurkishUnreservedness;Aggrieves Fiesta to the storerooms;CoincidentlyTurkishUnreservednessSTOREROOM;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE
SeducinglyDeafAndDumbOverdoses;SeducinglyDeafAndDumbOverdoses;Proves Lawn cart to the burial chambers;SeducinglyDeafAndDumbOverdosesBURIAL CHAMBER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
